
David M Blei,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Michael I Jordan,Andrew NG,Stanford University
Morgan Quigley,Andrew NG,Stanford University
Ken Conley,Andrew NG,Stanford University
Brian Gerkey,Andrew NG,Stanford University
Josh Faust,Andrew NG,Stanford University
Tully Foote,Andrew NG,Stanford University
Jeremy Leibs,Andrew NG,Stanford University
Rob Wheeler,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Andrew Ng,Andrew NG,Stanford University
Michael Jordan,Andrew NG,Stanford University
Yair Weiss,Andrew NG,Stanford University
Andrew L Maas,Andrew NG,Stanford University
Awni Y Hannun,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Richard Socher,Andrew NG,Stanford University
Alex Perelygin,Andrew NG,Stanford University
Jean Wu,Andrew NG,Stanford University
Jason Chuang,Andrew NG,Stanford University
Christopher D Manning,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Christopher Potts,Andrew NG,Stanford University
Yuval Netzer,Andrew NG,Stanford University
Tao Wang,Andrew NG,Stanford University
Adam Coates,Andrew NG,Stanford University
Alessandro Bissacco,Andrew NG,Stanford University
Baolin Wu,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Andrew Maas,Andrew NG,Stanford University
Raymond E Daly,Andrew NG,Stanford University
Peter T Pham,Andrew NG,Stanford University
Dan Huang,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Christopher Potts,Andrew NG,Stanford University
Jeffrey Dean,Andrew NG,Stanford University
Greg Corrado,Andrew NG,Stanford University
Rajat Monga,Andrew NG,Stanford University
Kai Chen,Andrew NG,Stanford University
Matthieu Devin,Andrew NG,Stanford University
Mark Mao,Andrew NG,Stanford University
Marc'aurelio Ranzato,Andrew NG,Stanford University
Andrew Senior,Andrew NG,Stanford University
Paul Tucker,Andrew NG,Stanford University
Ke Yang,Andrew NG,Stanford University
Quoc Le,Andrew NG,Stanford University
Andrew Ng,Andrew NG,Stanford University
Adam Coates,Andrew NG,Stanford University
Andrew Ng,Andrew NG,Stanford University
Honglak Lee,Andrew NG,Stanford University
Pieter Abbeel,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Eric Xing,Andrew NG,Stanford University
Michael Jordan,Andrew NG,Stanford University
Stuart J Russell,Andrew NG,Stanford University
Andrew Ng,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Stuart Russell,Andrew NG,Stanford University
Jiquan Ngiam,Andrew NG,Stanford University
Aditya Khosla,Andrew NG,Stanford University
Mingyu Kim,Andrew NG,Stanford University
Juhan Nam,Andrew NG,Stanford University
Honglak Lee,Andrew NG,Stanford University
Andrew Y Ng,Andrew NG,Stanford University
Dario Amodei,Andrew NG,Stanford University
Sundaram Ananthanarayanan,Andrew NG,Stanford University
Rishita Anubhai,Andrew NG,Stanford University
Jingliang Bai,Andrew NG,Stanford University
Eric Battenberg,Andrew NG,Stanford University
Carl Case,Andrew NG,Stanford University
