name,scholar_url,professor,university,degree_type,field_of_study
Andrew Y Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford,Stanford University,ML
Morgan Quigley,https://scholar.google.com/citations?user=fMDLYCUAAAAJ&hl=en,Andrew Ng,Stanford,Open Source Robotics Foundation,ML
Ken Conley,https://scholar.google.com/citations?user=XISHeF4AAAAJ&hl=en,Andrew Ng,Stanford,Unknown affiliation,ML
Brian Gerkey,https://scholar.google.com/citations?user=pcWicN8AAAAJ&hl=en,Andrew Ng,Stanford,OSRF,ML
Josh Faust,https://scholar.google.com/citations?user=V-dlwF4AAAAJ&hl=en,Andrew Ng,Stanford,Stanford,ML
Tully Foote,https://scholar.google.com/citations?user=0Ix7S-4AAAAJ&hl=en,Andrew Ng,Stanford,Open Robotics,ML
Andrew Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford,Stanford University,ML
Andrew L Maas,https://scholar.google.com/citations?user=emiAAG0AAAAJ&hl=en,Andrew Ng,Stanford,Stanford University,ML
Awni Y Hannun,https://scholar.google.com/citations?user=3-mdTUAAAAAJ&hl=en,Andrew Ng,Stanford,"Machine Learning Research, Apple",ML
Andrew Y Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford,Stanford University,ML
Andrew Y Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford University,Stanford University,ML
Morgan Quigley,https://scholar.google.com/citations?user=fMDLYCUAAAAJ&hl=en,Andrew Ng,Stanford University,Open Source Robotics Foundation,ML
Ken Conley,https://scholar.google.com/citations?user=XISHeF4AAAAJ&hl=en,Andrew Ng,Stanford University,Unknown affiliation,ML
Brian Gerkey,https://scholar.google.com/citations?user=pcWicN8AAAAJ&hl=en,Andrew Ng,Stanford University,OSRF,ML
Josh Faust,https://scholar.google.com/citations?user=V-dlwF4AAAAJ&hl=en,Andrew Ng,Stanford University,Stanford,ML
Tully Foote,https://scholar.google.com/citations?user=0Ix7S-4AAAAJ&hl=en,Andrew Ng,Stanford University,Open Robotics,ML
Andrew Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford University,Stanford University,ML
Andrew L Maas,https://scholar.google.com/citations?user=emiAAG0AAAAJ&hl=en,Andrew Ng,Stanford University,Stanford University,ML
Awni Y Hannun,https://scholar.google.com/citations?user=3-mdTUAAAAAJ&hl=en,Andrew Ng,Stanford University,"Machine Learning Research, Apple",ML
Andrew Y Ng,https://scholar.google.com/citations?user=mG4imMEAAAAJ&hl=en,Andrew Ng,Stanford University,Stanford University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,Andrew Ng,Stanford University,you.com,ML
