name,scholar_url,Linkedin,professor,university,degree_type,field_of_study
Jia Deng,https://scholar.google.com/citations?user=U3Eub-EAAAAJ&hl=en,https://www.linkedin.com/in/jia-deng-73bb4430,Fei-Fei Li,Stanford University,Princeton University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,https://www.linkedin.com/in/richardsocher,Fei-Fei Li,Stanford University,you.com,ML
Li-Jia Li,https://scholar.google.com/citations?user=feX1fWAAAAAJ&hl=en,https://www.linkedin.com/in/lijiali,Fei-Fei Li,Stanford University,"Chief AI, IEEE Fellow",ML
Hao Su,https://scholar.google.com/citations?user=1P8Zu04AAAAJ&hl=en,https://www.linkedin.com/in/suhaochina,Fei-Fei Li,Stanford University,UCSD CSE,ML
Jonathan Krause,https://scholar.google.com/citations?user=7DwDYzkAAAAJ&hl=en,https://uk.linkedin.com/in/jonathankrause,Fei-Fei Li,Stanford University,Google,ML
Andrej Karpathy,https://scholar.google.com/citations?user=l8WuQJgAAAAJ&hl=en,not found,Fei-Fei Li,Stanford University,"Computer Science PhD student, Stanford University",ML
George Toderici,https://scholar.google.com/citations?user=xfRtWTIAAAAJ&hl=en,https://www.linkedin.com/in/toderici,Fei-Fei Li,Stanford University,"Google, Inc.",ML
Sanketh Shetty,https://scholar.google.com/citations?user=aPzTKloAAAAJ&hl=en,https://www.linkedin.com/in/sankethshetty,Fei-Fei Li,Stanford University,Facebook Inc,ML
Thomas Leung,https://scholar.google.com/citations?user=sUK_w2QAAAAJ&hl=en,https://www.linkedin.com/in/thomas-leung-1025436,Fei-Fei Li,Stanford University,Google Inc,ML
Kevin Yang,https://scholar.google.com/citations?user=mq-Vzk8AAAAJ&hl=en,https://www.linkedin.com/in/kevinkyang,Regina Barzilay,Massachusetts Institute of Technology (MIT),Microsoft Research,ML
Kyle Swanson,https://scholar.google.com/citations?user=seqcYSUAAAAJ&hl=en,https://www.linkedin.com/in/kyle-swanson-564ab787,Regina Barzilay,Massachusetts Institute of Technology (MIT),Stanford University,ML
Wengong Jin,https://scholar.google.com/citations?user=IE5D8_QAAAAJ&hl=en,https://www.linkedin.com/in/wengong-jin-640522b1,Regina Barzilay,Massachusetts Institute of Technology (MIT),Broad Institute of MIT and Harvard,ML
Tommi Jaakkola,https://scholar.google.com/citations?user=Ao4gtsYAAAAJ&hl=en,https://fi.linkedin.com/in/tommi-jaakkola-3595a719b,Regina Barzilay,Massachusetts Institute of Technology (MIT),MIT,ML
Connor Coley,https://scholar.google.com/citations?user=l015S80AAAAJ&hl=en,https://www.linkedin.com/in/connorcoley,Regina Barzilay,Massachusetts Institute of Technology (MIT),"Department of Chemical Engineering, MIT",ML
Mirella Lapata,https://scholar.google.com/citations?user=j67B9Q4AAAAJ&hl=en,https://uk.linkedin.com/in/mirella-lapata-b431513,Regina Barzilay,Massachusetts Institute of Technology (MIT),"School of Informatics, Edinburgh University",ML
Tao Lei,https://scholar.google.com/citations?user=g2uay50AAAAJ&hl=en,https://www.linkedin.com/in/tao-lei-606b511a0,Regina Barzilay,Massachusetts Institute of Technology (MIT),Google,ML
Tianxiao Shen,https://scholar.google.com/citations?user=aYtllNgAAAAJ&hl=en,https://www.linkedin.com/in/shentianxiao,Regina Barzilay,Massachusetts Institute of Technology (MIT),University of Washington,ML
Been Kim,https://scholar.google.com/citations?user=aGXkhcwAAAAJ&hl=en,https://www.linkedin.com/in/been-kim-73012915,Finale Doshi-Velez,Harvard University,Google DeepMind,ML
Andrew Ross,https://scholar.google.com/citations?user=Lf-StbQAAAAJ&hl=en,https://www.linkedin.com/in/andrew-ross-54359b49,Finale Doshi-Velez,Harvard University,"PhD student, Harvard University",ML
Jenna Wiens,https://scholar.google.com/citations?user=fvEfKxkAAAAJ&hl=en,https://www.linkedin.com/in/jenna-wiens-615b6990,Finale Doshi-Velez,Harvard University,University of Michigan,ML
Suchi Saria,https://scholar.google.com/citations?user=FZLHMv8AAAAJ&hl=en,https://www.linkedin.com/in/suchisaria,Finale Doshi-Velez,Harvard University,"John C. Malone  Endowed Chair; Computer Science, Statistics, Medicine, Health Policy, Johns Hopkins",ML
Mark Sendak,https://scholar.google.com/citations?user=U0kHK8wAAAAJ&hl=en,https://www.linkedin.com/in/mark-sendak-956285149,Finale Doshi-Velez,Harvard University,"Population Health & Data Science Lead, Duke Institute for Health Innovation",ML
Ryan Budish,https://scholar.google.com/citations?user=7WAcJbUAAAAJ&hl=en,https://www.linkedin.com/in/ryan-budish,Finale Doshi-Velez,Harvard University,Unknown affiliation,ML
Chris Bavitz,https://scholar.google.com/citations?user=oq8WAwsAAAAJ&hl=en,https://www.linkedin.com/in/cbavitz,Finale Doshi-Velez,Harvard University,Harvard University,ML
Yaorong Ge,https://scholar.google.com/citations?user=eC8fISIAAAAJ&hl=en,https://www.linkedin.com/in/yaorong-ge-67201b16,Finale Doshi-Velez,Harvard University,uncc,ML
Isaac Kohane,https://scholar.google.com/citations?user=xn4tmfQAAAAJ&hl=en,https://www.linkedin.com/in/isaac-kohane-729b03,Finale Doshi-Velez,Harvard University,"Harvard Medical School, Children's Hospital, Brigham and Women's Hospital",ML
Omer Gottesman,https://scholar.google.com/citations?user=glNJx5zYUbsC&hl=en,https://www.linkedin.com/in/omer-gottesman-a2753b175,Finale Doshi-Velez,Harvard University,Amazon,ML
Fredrik Johansson,https://scholar.google.com/citations?user=UB5V6voAAAAJ&hl=en,https://fr.linkedin.com/in/fredrik-johansson-545324220,Finale Doshi-Velez,Harvard University,INRIA Bordeaux,ML
Matthieu Komorowski,https://scholar.google.com/citations?user=xpAYtroAAAAJ&hl=en,https://uk.linkedin.com/in/matthieukomorowski,Finale Doshi-Velez,Harvard University,"MD, PhD, Clinical Senior Lecturer at Imperial College London ; Visiting Scholar at MIT",ML
Jia Deng,https://scholar.google.com/citations?user=U3Eub-EAAAAJ&hl=en,https://www.linkedin.com/in/jia-deng-73bb4430,Fei-Fei Li,Stanford University,Princeton University,ML
Richard Socher,https://scholar.google.com/citations?user=FaOcyfMAAAAJ&hl=en,https://www.linkedin.com/in/richardsocher,Fei-Fei Li,Stanford University,you.com,ML
Li-Jia Li,https://scholar.google.com/citations?user=feX1fWAAAAAJ&hl=en,https://www.linkedin.com/in/lijiali,Fei-Fei Li,Stanford University,"Chief AI, IEEE Fellow",ML
