GitHub ID,Link,Total Score
AlecMorgan,https://github.com/AlecMorgan,5309.112923043147
qingsongedu,https://github.com/qingsongedu,4652.788258211953
rohitl17,https://github.com/rohitl17,460.6700609411512
williexu,https://github.com/williexu,353.8025740725654
heshameraqi,https://github.com/heshameraqi,346.62479807649345
mlfitz2,https://github.com/mlfitz2,248.38120881148734
ataibarkai,https://github.com/ataibarkai,212.09772091252458
tejasmhos,https://github.com/tejasmhos,189.8371334075927
EliGrosman,https://github.com/EliGrosman,189.50019569056371
wenlinyao,https://github.com/wenlinyao,141.73300642626626
